time,historical,component,n_replications,recovered_mean,recovered_median,recovered_lower,recovered_upper,event_experienced,population_variance,recovered_central
2.46,1,Nonshared environmental variance,1000,4.007343495305224,4.000872067332807,3.420763579141487,4.632637055141096,1,4,4.007343495305224
2.46,1,Total phenotypic variance,1000,8.713870176843495,8.799090399272131,7.710766752656168,9.579905814195651,0,8.200282748158385,8.713870176843495
2.46,1,Total phenotypic variance,1000,8.713870176843495,8.799090399272131,7.710766752656168,9.579905814195651,1,9.159479971086368,8.713870176843495
2.4800000000000004,1,Additive genetic variance,1000,2.4088744591885027,2.3864870804247817,1.4279598500065196,3.5085273930215743,0,1.919787227944425,2.4088744591885027
2.4800000000000004,1,Additive genetic variance,1000,2.4088744591885027,2.3864870804247817,1.4279598500065196,3.5085273930215743,1,2.863986000863764,2.4088744591885027
2.4800000000000004,1,Common environmental variance,1000,2.259419295119531,2.2588709369545468,1.7091672029085705,2.866687569260896,0,2.25,2.259419295119531
2.4800000000000004,1,Common environmental variance,1000,2.259419295119531,2.2588709369545468,1.7091672029085705,2.866687569260896,1,2.25,2.259419295119531
2.4800000000000004,1,Nonshared environmental variance,1000,4.007443701458776,4.003726369077425,3.4239958100070367,4.639338473650629,0,4,4.007443701458776
2.4800000000000004,1,Nonshared environmental variance,1000,4.007443701458776,4.003726369077425,3.4239958100070367,4.639338473650629,1,4,4.007443701458776
2.4800000000000004,1,Total phenotypic variance,1000,8.675737455766809,8.768515675868903,7.667741092386278,9.52660389796733,0,8.169787227944425,8.675737455766809
2.4800000000000004,1,Total phenotypic variance,1000,8.675737455766809,8.768515675868903,7.667741092386278,9.52660389796733,1,9.113986000863765,8.675737455766809
2.5,1,Additive genetic variance,1000,2.3710019678086796,2.353571290718312,1.4027136500395458,3.4519822557101016,0,1.8894662109640588,2.3710019678086796
2.5,1,Additive genetic variance,1000,2.3710019678086796,2.353571290718312,1.4027136500395458,3.4519822557101016,1,2.818752358874854,2.3710019678086796
2.5,1,Common environmental variance,1000,2.2592922367459525,2.2581897771794344,1.708136091076407,2.872635322678757,0,2.25,2.2592922367459525
2.5,1,Common environmental variance,1000,2.2592922367459525,2.2581897771794344,1.708136091076407,2.872635322678757,1,2.25,2.2592922367459525
2.5,1,Nonshared environmental variance,1000,4.007541815693605,4.003731700771282,3.4283367382955094,4.6363487295107095,0,4,4.007541815693605
2.5,1,Nonshared environmental variance,1000,4.007541815693605,4.003731700771282,3.4283367382955094,4.6363487295107095,1,4,4.007541815693605
2.5,1,Total phenotypic variance,1000,8.637836020248237,8.733156855514789,7.632486008158918,9.486462716458057,0,8.13946621096406,8.637836020248237
2.5,1,Total phenotypic variance,1000,8.637836020248237,8.733156855514789,7.632486008158918,9.486462716458057,1,9.068752358874853,8.637836020248237
2.5200000000000005,1,Additive genetic variance,1000,2.333369184165161,2.3201821283449613,1.3752476070823694,3.3956689313948765,0,1.8593265664557523,2.333369184165161
2.5200000000000005,1,Additive genetic variance,1000,2.333369184165161,2.3201821283449613,1.3752476070823694,3.3956689313948765,1,2.773789292819234,2.333369184165161
2.5200000000000005,1,Common environmental variance,1000,2.2591671122030736,2.256591758023947,1.7072153986372476,2.873432632120818,0,2.25,2.2591671122030736
2.5200000000000005,1,Common environmental variance,1000,2.2591671122030736,2.256591758023947,1.7072153986372476,2.873432632120818,1,2.25,2.2591671122030736
2.5200000000000005,1,Nonshared environmental variance,1000,4.007637872446504,4.004092259312387,3.425882644439515,4.640935420422495,0,4,4.007637872446504
2.5200000000000005,1,Nonshared environmental variance,1000,4.007637872446504,4.004092259312387,3.425882644439515,4.640935420422495,1,4,4.007637872446504
2.5200000000000005,1,Total phenotypic variance,1000,8.600174168814739,8.700968971135376,7.593805570591054,9.429211133367437,0,8.109326566455753,8.600174168814739
2.5200000000000005,1,Total phenotypic variance,1000,8.600174168814739,8.700968971135376,7.593805570591054,9.429211133367437,1,9.023789292819234,8.600174168814739
