replication,seed,converged,status_code,status_message,error_message,n_families,total_n,mean_family_size,min_family_size,max_family_size,minus2ll,iterations,elapsed_seconds,mean_H,z_year,b_a_0,b_a_1,b_a_2,b_a_3,g_a_1,b_cn_0,b_cn_1,b_cn_2,b_cn_3,g_cn_1,b_e_0,b_e_1,b_e_2,b_e_3,g_e_1,se_b_a_0,se_b_a_1,se_b_a_2,se_b_a_3,se_g_a_1,se_b_cn_0,se_b_cn_1,se_b_cn_2,se_b_cn_3,se_g_cn_1,se_b_e_0,se_b_e_1,se_b_e_2,se_b_e_3,se_g_e_1
21,202607221,TRUE,0,0,,250,30500,122,122,122,221173.27108126378,159,1612.4009001255035,0.28491803278688527,2.066988233207682,1.0814846604051593,0.11488453380417901,0.10381681999563167,-0.001395449450246077,0.17914601833112836,0.9060519741120829,-2.476026927747138e-4,0.19855112502579644,1.7982858130216722e-4,0.008085539188286377,0.7366321723351429,-0.11694632437400658,0.08701171442911447,9.172334777563395e-4,0.06111786065938005,0.02814813505373036,0.020322685718810497,0.01046777064045887,0.001845854036413384,0.023093966698229253,0.019211486903887975,0.007804003885347698,0.0023206772114892746,4.561695202841251e-4,0.00867644463802776,0.03935104940250905,0.030320441769133295,0.015829960238247023,0.006292297367160154,0.14380392148889404
22,202607222,TRUE,0,0,,250,30500,122,122,122,221414.31019339513,32,516.3356339931488,0.2798032786885246,2.0669369993255864,1.0700171040505442,0.12266877390828614,0.10836647221256973,-0.004708315133579676,0.2012087057357184,0.8845429265419587,0.011865962867741954,0.20348567347370514,-9.651047502642241e-4,0.0016568963550280336,0.7454936069970337,-0.17583374624573067,0.08697626445184364,0.012989208691564027,0.07146961697694744,0.027790222587282372,0.020216694252888842,0.01115143493707671,0.002300636282499191,0.022398182647382265,0.019326806720948674,0.00771889425092043,0.0021327916089325084,4.6815055148840683e-4,0.008484189873257919,0.03585803324095317,0.027035836699168092,0.013520074193004083,0.003343351076954042,0.10048321507085872
23,202607223,TRUE,0,0,,250,30500,122,122,122,220934.46276056755,22,520.9105339050293,0.2821311475409836,2.0669531799036274,1.0977111126369719,0.09281344770791727,0.1032235734657439,1.3250921377992698e-4,0.21687561094480312,0.9166350129660173,0.014168646613061346,0.1894614957929103,0.0015943945960638997,0.0037088095055175575,0.6945588778470482,-0.0463672825615581,0.11601977886591691,-0.013958517023038698,-0.4549426209529894,0.028546276726050892,0.018362116966335613,0.009805648091630025,0.0019020312400059441,0.022130667785420936,0.020378393263527774,0.012038176637764561,0.006301593245528317,9.565593545513042e-4,0.008640775128241369,0.039799157796620556,0.025177426924823654,0.013863434491051981,0.003916379120530012,0.31623554856207575
24,202607224,TRUE,0,0,,250,30500,122,122,122,220599.91103233703,22,513.6496880054474,0.2842295081967213,2.066911712113961,1.054381073555015,0.11665245725613863,0.10402697940559776,-0.0014820721046763857,0.20074493695815612,0.9429916622577299,-0.011180081150434167,0.19996335455208958,3.28191352227116e-4,-0.0012621079991380864,0.754527225265316,-0.09664801335079815,0.07162836217618071,0.002528620600680728,0.08922816340387096,0.02910787260801496,0.02023160996570162,0.00962879693253499,0.0017180485618390636,0.021774435203148534,0.01833260033408815,0.007004380276704396,0.0020857124606550245,4.5664440124948625e-4,0.008459774335219905,0.03687338567609003,0.03134548487298677,0.014277656212249417,0.006284748374702096,0.12958708332221583
25,202607225,TRUE,0,0,,250,30500,122,122,122,221818.30929747576,137,1432.1577532291412,0.2817377049180328,2.0667750473932,1.0666796876431341,0.1027809809302636,0.10923900907344392,-0.0010053645042591897,0.16634447830623392,0.9333667134446781,-0.015281762801516979,0.20180247057418652,-9.104457292122552e-6,0.012242716726610111,0.7717144165811491,-0.05309081138048225,0.06678440499748582,-0.004534541507707185,0.26122980299418913,0.030664195250868366,0.01945045893826495,0.01118866876334399,0.0020928203994439428,0.019604379006163793,0.01880545196348289,0.007214498888114049,0.002229762902140384,4.7790944702614537e-4,0.008517183888525817,0.039270181284593614,0.032478944225944745,0.017357205461675813,0.009110321309629637,0.11539814601483801
26,202607226,TRUE,0,0,,250,30500,122,122,122,221651.7855344513,122,1020.1762900352478,0.2854098360655738,2.0668940738529424,1.0615788880746895,0.1058202783473554,0.11093289832079768,-0.0029342836475837715,0.21502926074326495,0.9224464122044209,-0.00671892016006927,0.20043717765656255,2.5701831876091954e-4,-0.011715196647345038,0.7689025485222967,-0.05979029164216812,0.07435514097372917,0.00332987455445032,-0.07208224107053794,0.02943594198757025,0.019431470595218263,0.010415353362263003,0.001916454271220872,0.025112695620753203,0.019265886187601854,0.007708231754965107,0.0020700966288021176,4.8790224668862755e-4,0.008556978807441325,0.03740803040295984,0.02610394354956205,0.015606383300764767,0.004558554363901787,0.14105992881716958
27,202607227,TRUE,0,0,,250,30500,122,122,122,221331.47946197036,181,1792.5488891601563,0.2803934426229508,2.066957418754449,1.0886873626443176,0.089321920334813,0.11013214078559935,-0.0013537901182160746,0.21470238469782224,0.9461766234028866,-0.0034361186333469827,0.19722297775887349,5.649155251510486e-4,0.005521486426677676,0.689219768142581,-0.09738043541763612,0.10095778418348918,-0.0022514505545096768,-0.2410155065899955,0.028956392268585967,0.01876382992237484,0.009388068405421895,0.0017177440089373229,0.023799354642922217,0.01881124871226081,0.007871420937831636,0.0023116364888593316,4.830135110973785e-4,0.008359231826228207,0.041209636134894194,0.029695571468899635,0.01438915547520946,0.005276090469594587,0.23130468080432104
28,202607228,TRUE,0,0,,250,30500,122,122,122,220935.5927909485,148,1526.679636001587,0.28265573770491803,2.066836174866118,1.0900549058852589,0.11859371707457465,0.10516315786997574,-0.002802265881105663,0.1759687775924144,0.9237364712857218,-0.004622756902669952,0.19853346657446708,4.2963272798696124e-4,0.008163122939370073,0.6461485257748191,-0.12075413585040592,0.10780603826505372,0.00129216709093392,-0.024825338409434634,0.02639703768791583,0.018171029425962715,0.008423564206519046,0.0015662784839341243,0.021850177505255478,0.018604932727363646,0.007581649247070567,0.0020796155932954617,4.3946094762767866e-4,0.008213000872582676,0.040477351294055754,0.029594919211794805,0.012930932644181513,0.003871696842030325,0.14376429534237667
29,202607229,TRUE,0,0,,250,30500,122,122,122,221291.36539970853,225,2086.085832118988,0.28547540983606556,2.066821962484164,1.094423735946953,0.08857448707354686,0.11242295054040173,-0.0015004172416822833,0.19826002319033942,0.93257154073017,-0.009993460720665263,0.19702810924407752,7.867229637522453e-4,0.008652095136883345,0.7164320093613247,-0.08309501501649894,0.08008476443578395,-0.0057773618557812765,0.13053716986058705,0.02836036481001106,0.018767350096223448,0.010245088515638386,0.0018811495676578167,0.02160204642989638,0.018817630436691615,0.008020931735955267,0.002553968732057276,5.043134533882123e-4,0.008747909695294168,0.041308735395422895,0.033740377489275566,0.017780137995930853,0.008464402856555267,0.16037518883222365
30,202607230,TRUE,0,0,,250,30500,122,122,122,221286.30323466667,143,1482.2659668922424,0.28314754098360656,2.0666839725996096,1.1210965996949531,0.08717766050914558,0.1065152876715791,-5.995076537369422e-4,0.1981876141328542,0.8884950508020546,0.012491609121189132,0.2045872636374172,-0.0010486432104806224,7.426394347116407e-5,0.6974353433296631,-0.08933792630174017,0.061789537076311074,0.0076547895029993925,-0.012258267996291197,0.026927974560504414,0.017560177335099646,0.00914207959979713,0.0017107862008476208,0.02272285721494921,0.0193679098282332,0.007294279359515744,0.0021718702671249023,4.817674441083106e-4,0.008432363587042305,0.04403921704424717,0.032017513647757324,0.019962588364485567,0.0064541903198063345,0.16272732367897244
31,202607231,TRUE,0,0,,250,30500,122,122,122,221550.51307885494,20,759.5369210243225,0.2859344262295082,2.0668553413787625,1.1071452963507962,0.10509688383796996,0.10072657815897394,-2.722712183081424e-4,0.18544351150950059,0.933081413833898,-0.009847304411605048,0.19833321835341083,4.687545059797399e-4,0.0028490238824014883,0.6796569527397537,-0.06903250038677163,0.10065688155835266,-0.004592600199611836,0.01602341214706524,0.027914108125895162,0.019159331155322225,0.008962880051305319,0.0016703479415102653,0.02359981179760274,0.018934349748758517,0.007739329240961573,0.002358918954056644,4.860309709647291e-4,0.008713567309366625,0.04265479631350596,0.03117923308453843,0.014781687514568475,0.005086830526642018,0.14026369798006288
32,202607232,TRUE,0,0,,250,30500,122,122,122,221044.18669875833,125,1548.0606331825256,0.2820983606557377,2.0667333693186265,1.070139210535109,0.10770807441846654,0.09082404332988242,0.0014133332188674338,0.21392465096014576,0.9033558048289423,0.010010126575241392,0.19912144377042676,-2.6443550135981015e-4,0.0031812495668629283,0.7233674738181349,-0.10411816334917467,0.11664886829140839,-0.0013518926008911608,-0.0026410106809034543,0.02947783695665279,0.021781865527834968,0.01090530287599866,0.0018883555231879018,0.02822666554103656,0.019334204829331125,0.008272656144486981,0.002673215695059526,5.123054380870425e-4,0.00853471414680611,0.03776553979112662,0.025137248190704932,0.012306388442433858,0.0040046481296283935,0.111546565981149
33,202607233,TRUE,0,0,,250,30500,122,122,122,221210.79832051878,136,1677.6551740169525,0.2824590163934426,2.0668686193113293,1.1028252578296664,0.09370301626666157,0.09212574647051304,0.0020612552124821154,0.20024062420488933,0.8873180865772264,0.007640159071326793,0.2026599170486804,-8.15206731472122e-4,0.006489709339524444,0.692031618307426,-0.08071956833170231,0.11591941696690625,-0.0030569445020566855,0.05096825691774928,0.028127151919074795,0.020944082360224686,0.011183499136758892,0.0018878247457321457,0.025997937986788008,0.02009851171505179,0.008180451093335636,0.002668157238365753,5.31793246653508e-4,0.008489074572446628,0.04002191143571647,0.02841715525594555,0.012745670002262765,0.004781070507130563,0.10183634895786416
34,202607234,TRUE,0,0,,250,30500,122,122,122,221276.43830395138,26,812.1307640075684,0.28301639344262297,2.0669160354236586,1.1250993034702783,0.12446897347039844,0.07947990103891739,0.0029023396128835645,0.2051086335481358,0.8760648254806619,0.009307483603016904,0.2021956636270003,-5.015558856787806e-4,-0.007137232445158479,0.6572956406643422,-0.12933327928239616,0.11406422190023545,6.908343708819707e-4,-0.054928356422569095,0.026277119765945652,0.020300223870836513,0.010583235015856314,0.0017707823595952779,0.02474872798682325,0.019937450896663367,0.008199982984256131,0.0024996584989704584,5.225593473724318e-4,0.008757977886142684,0.041478561505662245,0.028969102561895464,0.013439019577457382,0.004895156611060697,0.14462585717255794
35,202607235,TRUE,0,0,,250,30500,122,122,122,221573.67023473108,185,2157.056869983673,0.2814098360655738,2.066698018364226,1.1324725822963566,0.10971353538966318,0.09268191161281128,0.002125380457151215,0.17825671027577153,0.8803847438117092,0.007644380262404411,0.2012790305423924,-4.8824847784730805e-4,-2.3435399514385175e-5,0.648044766910319,-0.1093951443753866,0.10241173383701972,-0.007437645618843493,0.18744811405053616,0.026550803171542466,0.01929748824744343,0.01112231195072347,0.0019382796561435438,0.01967866715479854,0.019580283077017643,0.008991929929857246,0.00306250042641315,5.529823425865317e-4,0.008856069532380703,0.04485031794796054,0.034622098051549983,0.016858692113544124,0.007031035645497246,0.14219388016550735
36,202607236,TRUE,0,0,,250,30500,122,122,122,221040.1558223812,13,338.09960293769836,0.28504918032786886,2.067054459337275,1.1416995904288956,0.09613342338188607,0.09502654781163125,0.001753063211941488,0.2119136446204115,0.9196255081187782,0.0029999684799505563,0.2008482668896775,-2.8203099426230927e-4,-0.00247784510889633,0.6709951187863976,-0.14501470745895448,0.09615471272735088,6.340544690902672e-5,-35.56156834216577,355.4661246505592,972.4293855338668,3116.8363713162234,10861.793866320793,250.73594343192016,200.82720916826565,729.1072900246742,3398.808512396665,16475.696433293742,253.80464148480064,102.66219469909096,147.60575555388175,346.71870360922367,988.5343112459215,
37,202607237,TRUE,0,0,,250,30500,122,122,122,221453.0730222524,159,1934.8146469593048,0.28314754098360656,2.066854952748266,1.055403897465081,0.1214095281915627,0.10336406859262934,-7.393877652814632e-4,0.18781043431239736,0.93693374366031,-0.011320696920622505,0.20176762349700014,-3.732886138842531e-5,-0.00154654225292088,0.740246965769654,-0.09684791688781648,0.0760871357592161,0.002107359376124988,-0.004774934900006061,0.028561254239292688,0.02017958885258502,0.010405011189917544,0.001829191239228228,0.02256049032062256,0.018320961499944034,0.007190904660954751,0.0019869421276037208,4.4847588888199665e-4,0.008541735034418435,0.037644383676949056,0.028569346720571695,0.015394009845680548,0.0057143550793384516,0.15660900555910434
38,202607238,TRUE,0,0,,250,30500,122,122,122,220945.2492337037,150,1842.264400959015,0.2860983606557377,2.0668640372760363,1.1251477729280563,0.10460443612298968,0.09595986802621381,4.0438316388710855e-4,0.1930537033380218,0.9052680295957681,0.005705983127706229,0.19771189777921686,1.9680290501585847e-4,-0.010065232829573952,0.6587436617762866,-0.12042012515368922,0.10213261993477495,-0.0017733622093380173,0.05927537613484134,0.02708818216982331,0.01931674490466288,0.010518020163688925,0.0017878491868776817,0.022084356168990904,0.019912456699387827,0.008441262452035728,0.0028239261176090653,5.429925062671033e-4,0.008670575981074641,0.04528877540850832,0.035594477558780355,0.01658308109383522,0.007884714237738165,0.1537165032468203
